URL,Address,City,Price,Beds,Baths,Ratings
https://www.realtor.com/realestateandhomes-detail/114-Iliad-Dr_Tinley-Park_IL_60477_M85351-90164,114 Iliad Dr,Tinley Park,189000,2,3,2
https://www.realtor.com/realestateandhomes-detail/12755-Saint-Andrews-Ct-Apt-301_Lemont_IL_60439_M71145-98924,12755 St Andrews Ct Unit 301,Lemont,189900,2,2,2
https://www.realtor.com/realestateandhomes-detail/12920-W-159th-St-Apt-2C_Lockport_IL_60491_M72986-82744,12920 W 159th St Apt 2C,Homer Glen,155000,2,2,3
https://www.realtor.com/realestateandhomes-detail/12936-W-159th-St-Apt-2A_Homer-Glen_IL_60491_M71987-78010,12936 W 159th St Apt 2A,Homer Glen,149900,2,2,3
https://www.realtor.com/realestateandhomes-detail/13348-S-Bayberry-Ln_Plainfield_IL_60544_M81496-06458,13348 S Bayberry Ln,Plainfield,184900,2,2,2
https://www.realtor.com/realestateandhomes-detail/13750-Bristlecone-Dr-Apt-204_Plainfield_IL_60544_M81912-40739,13750 Bristlecone Dr Apt 204,Plainfield,140000,2,2,3
https://www.realtor.com/realestateandhomes-detail/13750-Bristlecone-Dr-Apt-212_Plainfield_IL_60544_M75334-08504,13750 Bristlecone Dr Apt 212,Plainfield,165000,2,2,3
https://www.realtor.com/realestateandhomes-detail/13824-S-Mandarin-Ct_Plainfield_IL_60544_M79888-60258,13824 S Mandarin Ct,Plainfield,185000,2,2,2
https://www.realtor.com/realestateandhomes-detail/13923-S-Oakdale-Ct_Plainfield_IL_60544_M72683-61748,13923 S Oakdale Ct,Plainfield,179000,3,3,3
https://www.realtor.com/realestateandhomes-detail/13944-Cambridge-Cir_Plainfield_IL_60544_M76093-93058,13944 Cambridge Cir,Plainfield,200000,3,2,2
https://www.realtor.com/realestateandhomes-detail/13950-Stonehenge-Dr_Orland-Park_IL_60462_M85505-56877,13950 Stonehenge Dr,Orland Park,199900,2,3,2
https://www.realtor.com/realestateandhomes-detail/14010-S-Route-59_Plainfield_IL_60544_M77188-77951,14010 S Route 59,Plainfield,179000,2,3,2
https://www.realtor.com/realestateandhomes-detail/14025-S-Oakdale-Cir_Plainfield_IL_60544_M89689-97712,14025 S Oakdale Cir,Plainfield,164900,2,3,2
https://www.realtor.com/realestateandhomes-detail/14062-Edgewater-Dr_Plainfield_IL_60544_M74519-98683,14062 Edgewater Dr,Plainfield,174900,2,3,2
https://www.realtor.com/realestateandhomes-detail/14065-Danbury-Dr_Plainfield_IL_60544_M83270-37834,14065 Danbury Dr,Plainfield,166500,2,3,2
https://www.realtor.com/realestateandhomes-detail/14116-Faulkner-Ct_Plainfield_IL_60544_M88913-50223,14116 Faulkner Ct,Plainfield,180000,2,3,2
https://www.realtor.com/realestateandhomes-detail/14512-Thomas-Jefferson-Dr_Plainfield_IL_60544_M88930-00593,14512 Thomas Jefferson Dr,Plainfield,189900,2,3,2
https://www.realtor.com/realestateandhomes-detail/14530-Thomas-Jefferson-Dr_Plainfield_IL_60544_M81829-72591,14530 Thomas Jefferson Dr Unit 1453,Plainfield,195000,3,3,3
https://www.realtor.com/realestateandhomes-detail/14739-Montgomery-Dr_Orland-Park_IL_60462_M85129-45392,14739 Montgomery Dr,Orland Park,169900,3,2,4
https://www.realtor.com/realestateandhomes-detail/14817-S-Eastern-Ave_Plainfield_IL_60544_M75979-68157,14817 S Eastern Ave,Plainfield,158900,4,3,4
https://www.realtor.com/realestateandhomes-detail/14825-W-Victoria-Crossing-Way-1761T_Lockport_IL_60441_M77075-23178,14825 W Victoria Crossing Way,Lockport,199900,2,3,2
https://www.realtor.com/realestateandhomes-detail/14840-W-Victoria-Crossing-Way_Lockport_IL_60441_M73705-73822,14840 W Victoria Crossing Way,Lockport,199000,2,3,2
https://www.realtor.com/realestateandhomes-detail/14914-W-Victoria-Crossing-Way_Lockport_IL_60441_M79944-85093,14914 W Victoria Crossing Way,Lockport,125000,3,3,4
https://www.realtor.com/realestateandhomes-detail/15033-W-Quincy-Cir_Manhattan_IL_60442_M92614-50659,15033 W Quincy Cir,Manhattan,172760,3,3,3
https://www.realtor.com/realestateandhomes-detail/15035-W-Quincy-Cir_Manhattan_IL_60442_M86782-00035,15035 W Quincy Cir,Manhattan,187760,3,3,3
https://www.realtor.com/realestateandhomes-detail/15043-W-Quincy-Cir_Manhattan_IL_60442_M86770-44791,15043 W Quincy Cir,Manhattan,179035,2,4,2
https://www.realtor.com/realestateandhomes-detail/15065-W-Quincy-Cir_Manhattan_IL_60442_M86768-21195,15065 W Quincy Cir,Manhattan,193145,3,3,3
https://www.realtor.com/realestateandhomes-detail/15101-W-Quincy-Cir_Manhattan_IL_60442_M86767-83929,15101 W Quincy Cir,Manhattan,173410,3,3,3
https://www.realtor.com/realestateandhomes-detail/15125-Quail-Hollow-Dr-Apt-405_Orland-Park_IL_60462_M70845-67525,15125 Quail Hollow Dr Apt 405,Orland Park,132900,2,2,3
https://www.realtor.com/realestateandhomes-detail/15128-Evergreen-Dr-Apt-3B_Orland-Park_IL_60462_M88081-69060,15128 Evergreen Dr Apt 3B,Orland Park,164900,2,2,3
https://www.realtor.com/realestateandhomes-detail/15130-W-Quincy-Cir_Manhattan_IL_60442_M83153-90008,15130 W Quincy Cir,Manhattan,197305,3,3,3
https://www.realtor.com/realestateandhomes-detail/15138-W-Quincy-Cir_Manhattan_IL_60442_M83149-80083,15138 W Quincy Cir,Manhattan,198485,3,3,3
https://www.realtor.com/realestateandhomes-detail/15207-W-Cyrus-Dr_Manhattan_IL_60442_M97116-43013,15207 W Cyrus Dr,Manhattan,195190,3,3,3
https://www.realtor.com/realestateandhomes-detail/15261-S-74th-Ct-40_Orland-Park_IL_60462_M84601-52848,15261 S 74th Ct Unit 40,Orland Park,189900,2,2,2
https://www.realtor.com/realestateandhomes-detail/15651-Garden-View-Ct-Apt-2C_Orland-Park_IL_60462_M84621-65209,15651 Garden View Ct Apt 2C,Orland Park,154900,2,2,3
https://www.realtor.com/realestateandhomes-detail/15700-Deerfield-Ct-Unit-2S_Orland-Park_IL_60462_M84703-10981,15700 Deerfield Ct Unit 2S,Orland Park,159873,2,2,3
https://www.realtor.com/realestateandhomes-detail/15703-Foxbend-Ct-Apt-2N_Orland-Park_IL_60462_M71007-03678,15703 Foxbend Ct Apt 2N,Orland Park,163000,2,2,3
https://www.realtor.com/realestateandhomes-detail/15704-S-Sunset-Ridge-Ct-Unit-1N_Orland-Park_IL_60462_M84987-92497,15704 S Sunset Ridge Ct Unit 1N,Orland Park,159900,2,2,3
https://www.realtor.com/realestateandhomes-detail/15721-Lake-Hills-Ct-Unit-1S_Orland-Park_IL_60462_M71022-68848,15721 Lake Hills Ct Unit 1S,Orland Park,179900,3,2,3
https://www.realtor.com/realestateandhomes-detail/15721-Orlan-Brook-Dr-Unit-90_Orland-Park_IL_60462_M70884-43183,15721 S Orlan Brook Dr Unit 90,Orland Park,174900,3,2,3
https://www.realtor.com/realestateandhomes-detail/15722-Brassie-Ct-Apt-1N_Orland-Park_IL_60462_M79306-26552,15722 Brassie Ct Apt 1N,Orland Park,159900,2,2,3
https://www.realtor.com/realestateandhomes-detail/15722-Lake-Hills-Ct-Unit-1S_Orland-Park_IL_60462_M80990-19974,15722 Lake Hills Ct Unit 1S,Orland Park,179000,3,2,3
https://www.realtor.com/realestateandhomes-detail/15741-Ravinia-Ave-Unit-2E_Orland-Park_IL_60462_M71018-69409,15741 Ravinia Ave Unit 2E,Orland Park,189900,2,2,2
https://www.realtor.com/realestateandhomes-detail/15800-86th-Ave-Unit-125_Orland-Park_IL_60462_M85828-03686,15800 86th Ave Unit 125,Orland Park,164900,3,2,4
https://www.realtor.com/realestateandhomes-detail/15808-86th-Ave-Unit-135_Orland-Park_IL_60462_M70929-89628,15808 86th Ave Unit 135,Orland Park,199000,3,2,3
https://www.realtor.com/realestateandhomes-detail/15809-S-76th-Ave-Apt-2F_Orland-Park_IL_60462_M80802-01712,15809 S 76th Ave Apt 2F,Orland Park,149900,2,2,3
https://www.realtor.com/realestateandhomes-detail/16001-Eagle-Ridge-Dr-Apt-2N_Tinley-Park_IL_60477_M88496-50183,16001 Eagle Ridge Dr Apt 2N,Tinley Park,142000,2,2,3
https://www.realtor.com/realestateandhomes-detail/16350-Oxford-Dr_Tinley-Park_IL_60477_M88338-63945,16350 Oxford Dr,Tinley Park,153500,3,3,4
https://www.realtor.com/realestateandhomes-detail/16508-Oxford-Dr-1650_Tinley-Park_IL_60477_M83867-47563,16508 Oxford Dr Unit 1650,Tinley Park,115000,4,3,5
https://www.realtor.com/realestateandhomes-detail/16511-Manchester-St_Tinley-Park_IL_60477_M77663-61426,16511 Manchester St,Tinley Park,144900,2,3,3
https://www.realtor.com/realestateandhomes-detail/16521-S-Nottingham-Ct_Lockport_IL_60441_M80801-96761,16521 S Nottingham Ct,Lockport,189900,2,3,2
https://www.realtor.com/realestateandhomes-detail/16611-Liberty-Cir_Orland-Park_IL_60467_M71650-87029,16611 Liberty Cir Unit 2N,Orland Park,175000,2,2,2
https://www.realtor.com/realestateandhomes-detail/16713-Westwind-Dr_Tinley-Park_IL_60477_M73046-88858,16713 Westwind Dr,Tinley Park,169000,2,3,3
https://www.realtor.com/realestateandhomes-detail/16729-W-Adobe-Dr_Lockport_IL_60441_M77523-31915,16729 W Adobe Dr,Lockport,182808,2,3,2
https://www.realtor.com/realestateandhomes-detail/16800-82nd-Ave-Apt-1S_Tinley-Park_IL_60477_M88574-04648,16800 82nd Ave Unit B1,Tinley Park,152500,2,2,3
https://www.realtor.com/realestateandhomes-detail/16812-82nd-Ave-Apt-3S_Tinley-Park_IL_60477_M71426-56540,16812 82nd Ave Apt 3S,Tinley Park,142900,2,2,3
https://www.realtor.com/realestateandhomes-detail/16813-81st-Ct-Apt-2S_Tinley-Park_IL_60477_M71572-36113,16813 81st Ct Apt 2S,Tinley Park,128500,2,2,3
https://www.realtor.com/realestateandhomes-detail/16820-81st-Ave-Apt-3N_Tinley-Park_IL_60477_M73216-15147,16820 81st Ave Apt 3N,Tinley Park,154000,2,2,3
https://www.realtor.com/realestateandhomes-detail/16825-81st-Ave-W2_Tinley-Park_IL_60477_M84750-21959,16825 81st Ct Apt 2W,Tinley Park,149900,2,2,3
https://www.realtor.com/realestateandhomes-detail/16853-S-Sunset-Ridge-Ct_Lockport_IL_60441_M87397-05136,16853 S Sunset Ridge Ct,Lockport,190000,2,2,2
https://www.realtor.com/realestateandhomes-detail/17-Saint-Moritz-Dr-Unit-102_Palos-Park_IL_60464_M79315-10601,17 Saint Moritz Dr Unit 17-102,Palos Park,199999,2,3,2
https://www.realtor.com/realestateandhomes-detail/17230-Arrow-Head-Dr_Lockport_IL_60441_M79288-94802,17230 Arrow Head Dr,Lockport,140000,2,2,3
https://www.realtor.com/realestateandhomes-detail/17236-Ridgeland-Ave-422_Tinley-Park_IL_60477_M73930-92263,17236 Ridgeland Ave Unit 422,Tinley Park,119999,2,2,3
https://www.realtor.com/realestateandhomes-detail/174-Tracy-Way_Bolingbrook_IL_60440_M79053-62322,174 Tracy Way,Bolingbrook,148000,4,3,4
https://www.realtor.com/realestateandhomes-detail/17426-Tanglewood_Lockport_IL_60441_M85549-41816,17426 Tanglewood Dr,Lockport,199500,2,2,2
https://www.realtor.com/realestateandhomes-detail/17441-Teton-Ct_Lockport_IL_60441_M73703-55452,17441 Teton Ct,Lockport,192000,2,3,2
https://www.realtor.com/realestateandhomes-detail/17525-71st-Ct-Apt-1C_Tinley-Park_IL_60477_M71150-96680,17525 71st Ct Apt 1C,Tinley Park,109900,2,2,3
https://www.realtor.com/realestateandhomes-detail/17534-Gilbert-Dr_Lockport_IL_60441_M84190-78934,17534 S Gilbert Dr,Lockport,189900,3,3,3
https://www.realtor.com/realestateandhomes-detail/17540-S-Gilbert-Dr_Lockport_IL_60441_M80519-03286,17540 S Gilbert Dr,Lockport,189900,2,3,2
https://www.realtor.com/realestateandhomes-detail/17545-S-Gilbert-Dr_Lockport_IL_60441_M80474-68639,17545 S Gilbert Dr,Lockport,199900,2,3,2
https://www.realtor.com/realestateandhomes-detail/17566-Gilbert-Dr-1756_Lockport_IL_60441_M79977-59174,17566 S Gilbert Dr Unit 1756,Lockport,178900,2,3,2
https://www.realtor.com/realestateandhomes-detail/17664-S-Gilbert-Dr-2_Lockport_IL_60441_M98593-31126,17664 S Gilbert Dr Unit 2,Lockport,179900,2,3,2
https://www.realtor.com/realestateandhomes-detail/17731-Bernard-Dr-Apt-3B_Orland-Park_IL_60467_M86656-37257,17731 Bernard Dr Apt 3B,Orland Park,169900,2,2,2
https://www.realtor.com/realestateandhomes-detail/17806-Bernard-Dr-Apt-2A_Orland-Park_IL_60467_M82430-57517,17806 Bernard Dr Apt 2A,Orland Park,174900,2,2,2
https://www.realtor.com/realestateandhomes-detail/17824-Bernard-Dr-Apt-3C_Orland-Park_IL_60467_M79644-15390,17824 Bernard Dr Apt 3C,Orland Park,164900,2,2,3
https://www.realtor.com/realestateandhomes-detail/17940-Royal-Oak-Ct-Apt-2E_Tinley-Park_IL_60477_M71426-36211,17940 Royal Oak Ct Apt 2E,Tinley Park,139900,2,2,3
https://www.realtor.com/realestateandhomes-detail/18112-Rita-Rd-Apt-3D_Tinley-Park_IL_60477_M78736-48302,18112 Rita Rd Apt 3D,Tinley Park,159900,2,2,3
https://www.realtor.com/realestateandhomes-detail/18136-Rita-Rd-Apt-1A_Tinley-Park_IL_60477_M77376-40999,18136 Rita Rd Apt 1A,Tinley Park,145900,2,2,3
https://www.realtor.com/realestateandhomes-detail/18364-Century-Ct-R5_Tinley-Park_IL_60477_M87682-23699,18364 Century Ct Unit 5R,Tinley Park,179900,2,3,2
https://www.realtor.com/realestateandhomes-detail/18383-Century-Ct-R11_Tinley-Park_IL_60477_M87671-87989,18383 Century Ct Unit 11R,Tinley Park,183900,2,3,2
https://www.realtor.com/realestateandhomes-detail/18410-Millennium-Dr_Tinley-Park_IL_60477_M72257-34921,18410 Millennium Dr,Tinley Park,198000,3,3,3
https://www.realtor.com/realestateandhomes-detail/18530-Pine-Lake-Dr-Apt-2A_Tinley-Park_IL_60477_M87678-58776,18530 Pine Lake Dr Apt 2A,Tinley Park,182000,2,2,2
